level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3060	1140	-1	
2	1	1	0	0	0	449	0	2455	448	-1	
3	1	1	1	0	0	449	0	2455	448	-1	
4	1	1	1	1	0	449	0	192	54	-1	
5	1	1	1	1	1	449	0	192	54	69.483665	AA
4	1	1	1	2	0	613	13	1967	215	-1	
5	1	1	1	2	1	613	109	97	98	71.132927	AJ
5	1	1	1	2	2	736	160	71	68	56.675850	Y
5	1	1	1	2	3	1101	13	263	196	45.784184	des
5	1	1	1	2	4	1402	148	18	35	93.738426	1
5	1	1	1	2	5	1579	120	271	86	58.636230	ama
5	1	1	1	2	6	1939	125	372	67	0.000000	¡Tiedes
5	1	1	1	2	7	2528	167	52	15	70.808907	L
4	1	1	1	3	0	641	308	2263	91	-1	
5	1	1	1	3	1	641	320	43	79	21.583076	Ps
5	1	1	1	3	2	924	314	228	85	0.000000	yiuea
5	1	1	1	3	3	1455	319	303	65	8.250778	SACARA
5	1	1	1	3	4	1912	333	143	47	45.190483	EL
5	1	1	1	3	5	2139	308	83	60	58.864899	AL
5	1	1	1	3	6	2377	331	2	3	32.273186	Bd
5	1	1	1	3	7	2508	332	101	43	40.949364	at
5	1	1	1	3	8	2883	335	21	49	63.210358	]
4	1	1	1	4	0	1591	403	22	45	-1	
5	1	1	1	4	1	1591	403	22	45	0.000000	f
